Analyst 21,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 22,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 23,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 24,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 25,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 26,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 27,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 28,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 29,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 30,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 31,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 32,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 33,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 34,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 35,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 36,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 37,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 38,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 39,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments,,Analyst 40,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes…,,,Starch Present?,PAD #,Date Analyzed,Comments
72,T21-D2M4 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,,,,33760,23/8/2018,,,72,T22-ZWAN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30439,29/8/2018,,,72,T23-1LLN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35450,24/8/2018,,,72,T24-WG9J ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35540,30/8/2018,,,72,T25-AH3B ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30578,19/8/2018,,,72,T26-RZLC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32793,5/9/2018,,,72,T27-SWHE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30271,21/8/2018,,,72,T28-F0Q6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34319,8/9/2018,,,72,T29-M6OD ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30282,6/9/2018,,,72,T30-3SVF ,Benzyl Penicillin,Benzyl Penicillin,Suspicious,F,,,,33960,3/9/2018,,,72,T31-UYWV ,Benzyl Penicillin,Benzyl Penicillin ,Benzyl Penicillin,,,,,29683,28/8/2018,,,72,T32-2GAH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,,,30029,18/8/2018,,,72,T33-YVHF ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32198,6/9/2018,,,72,T34-T5OG ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33911,13/8/2018,,,72,T35-1DC6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,36256,2/9/2018,,,72,T36-W39S ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35342,19/8/2018,,,72,T37-DHLT ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34742,1/9/2018,,,72,T38-HCTD ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34561,4/9/2018,,,72,T39-DB4X ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32781,20/9/2018,,,72,T40-LZVG ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35102,8/9/2018,
73,T21-IDC5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,,,,35222,9/8/2018,,,73,T22-V8CT ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35120,10/9/2018,,,73,T23-V0IB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35435,16/8/2018,,,73,T24-M5GE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35547,10/9/2018,,,73,T25-H4VR ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32482,9/9/2018,,,73,T26-WED7 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35934,26/9/2018,,,73,T27-C0PR ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35535,4/9/2018,,,73,T28-FNFW ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34318,8/9/2018,,,73,T29-LWM8 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30273,6/9/2018,,,73,T30-P9NS ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34374,21/8/2018,,,73,T31-Z633 ,Benzyl Penicillin,Benzyl Penicillin ,Benzyl Penicillin,,,,,34039,17/9/2018,,,73,T32-CP65 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,,,35031,4/9/2018,,,73,T33-VX48 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34833,6/9/2018,,,73,T34-V8VB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33912,13/8/2018,,,73,T35-QL3W ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,36258,30/8/2018,,,73,T36-752O ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33855,4/9/2018,,,73,T37-Y53D ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34713,20/8/2018,,,73,T38-72GT ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32348,25/9/2018,,,73,T39-J1ET ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35263,14/9/2018,,,73,T40-KS5F ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34597,22/9/2018,
74,T21-0TL0 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,,,,33207,19/9/2018,,,74,T22-QEEG ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35124,10/9/2018,,,74,T23-Y0WK ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34710,20/9/2018,,,74,T24-VDBA ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,36000,10/8/2018,,,74,T25-OVGZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30588,19/8/2018,,,74,T26-ZEXJ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35928,27/9/2018,,,74,T27-M8Y5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35874,16/9/2018,,,74,T28-GPBK ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,31622,8/9/2018,,,74,T29-CC5R ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33747,21/8/2018,,,74,T30-GOOA ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33972,4/9/2018,,,74,T31-V2UL ,Benzyl Penicillin,Benzyl Penicillin ,Benzyl Penicillin,,,,,31889,22/8/2018,,,74,T32-2JGC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,,,30025,18/8/2018,,,74,T33-AI7A ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34947,14/8/2018,,,74,T34-0886 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34522,5/9/2018,,,74,T35-FJ5K ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,31989,10/9/2018,,,74,T36-RW5K ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32014,22/9/2018,,,74,T37-YGCC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34714,20/8/2018,,,74,T38-1FSX ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32417,14/8/2018,,,74,T39-6F51 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35430,14/9/2018,,,74,T40-3L9V ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34823,20/8/2018,
75,T21-NZ1N ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Pencillin,,,,,34898,23/8/2018,,,75,T22-T13Q ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30050,3/9/2018,,,75,T23-RHBO ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30515,14/8/2018,,,75,T24-IZLV ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35563,30/8/2018,,,75,T25-ABO8 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30584,19/8/2018,,,75,T26-6QCC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34334,15/8/2018,,,75,T27-IFHP ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,29874,16/9/2018,,,75,T28-85WN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34308,8/9/2018,,,75,T29-MDXE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,30272,6/9/2018,,,75,T30-KU0N ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34913,21/9/2018,,,75,T31-QI4K ,Benzyl Penicillin,Benzyl Penicillin ,Benzyl Penicillin,,,,,34018,17/9/2018,,,75,T32-QNTX ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,,,35017,4/9/2018,,,75,T33-U20H ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34874,6/9/2018,,,75,T34-E772 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33914,13/8/2018,,,75,T35-HK3E ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,36246,2/9/2018,,,75,T36-COAF ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,33858,4/9/2018,,,75,T37-UMJ4 ,Benzyl Penicillin,Benzyl Penicillin,Suspicious,F,,,,34778,1/9/2018,,,75,T38-JNI5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34557,4/9/2018,,,75,T39-8P2R ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,32567,21/8/2018,,,75,T40-UBH5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34599,22/9/2018,
76,T21-2P8H ,Benzyl Penicillin,Penicillin Procaine,Benzyl Pencillin,,,,,34897,23/8/2018,,,76,T22-WOY1 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,35123,10/9/2018,,,76,T23-Q68T ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,,,35434,20/8/2018,,,76,T24-XVG5 ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,,,35561,30/8/2018,,,76,T25-H28D ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,,,30585,19/8/2018,,,76,T26-HWR1 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34853,16/8/2018,,,76,T27-FYUL ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,,,36288,4/9/2018,,,76,T28-YUQ4 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34324,7/9/2018,,,76,T29-QASG ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,33745,21/8/2018,,,76,T30-QVZH ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34914,21/9/2018,,,76,T31-T9B8 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34019,17/9/2018,,,76,T32-CZYG ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicllin,,,,,34299,11/9/2018,,,76,T33-E7I5 ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,,,34832,6/9/2018,,,76,T34-KVPU ,Benzyl Penicillin,Lactose,Suspicious,F,,,,33895,13/8/2018,,,76,T35-4L6U ,Benzyl Penicillin,Lactose,Suspicious,F,,,,35586,19/8/2018,,,76,T36-RIIQ ,Benzyl Penicillin,Lactose,Suspicious,F,,,,32004,22/9/2018,,,76,T37-7S66 ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,34794,20/8/2018,,,76,T38-4HZT ,Benzyl Penicillin,Lactose,Suspicious,F,,,,32168,14/8/2018,,,76,T39-3Q42 ,Benzyl Penicillin,Paracetamol Starch,Suspicious,F,,,Yes,35260,14/9/2018,,,76,T40-1XQ6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35233,8/9/2018,
77,T21-QMF0 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35223,9/8/2018,,,77,T22-HET22 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,30201,3/9/2018,,,77,T23-H6KR ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30471,29/8/2018,,,77,T24-91S1 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35553,10/9/2018,,,77,T25-XQVM ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32264,4/9/2018,,,77,T26-WVST ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35855,27/9/2018,,,77,T27-6Z7T ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35515,3/9/2018,,,77,T28-PCKU ,Benzyl Penicillin,Lactose,Suspicious,F,,,,31600,8/9/2018,,,77,T29-WF3F ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30286,6/9/2018,,,77,T30-V7M2 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34089,23/9/2018,,,77,T31-Q1L5 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,30021,28/8/2018,,,77,T32-SM0O ,Benzyl Penicillin,Lactose,Suspicious,F,,,,35187,4/9/2018,,,77,T33-H00H ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32118,21/9/2018,,,77,T34-YVCK ,Benzyl Penicillin,Lactose,Suspicious,F,,,,33906,13/8/2018,,,77,T35-BXW3 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,31931,10/9/2018,,,77,T36-2NEK ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35419,19/8/2018,,,77,T37-JTKB ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,34397,8/9/2018,,,77,T38-S257 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,32170,14/8/2018,,,77,T39-FANQ ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32623,20/9/2018,,,77,T40-5LHP ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34556,22/9/2018,
78,T21-1808 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,33761,23/8/2018,,,78,T22-G271 ,Benzyl Penicillin,Starch,Suspicious,F,,,,35121,10/9/2018,,,78,T23-OLOW ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35035,22/9/2018,,,78,T24-8ARH ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35550,10/9/2018,,,78,T25-NOJ0 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32485,9/9/2018,,,78,T26-2QRE ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30276,27/9/2018,,,78,T27-ENI6 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,31732,22/8/2018,,,78,T28-OVHF ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30794,8/9/2018,,,78,T29-ED85 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30222,6/9/2018,,,78,T30-1WQE ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34925,21/9/2018,,,78,T31-FRPM ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32083,22/8/2018,,,78,T32-GBY3 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34811,22/8/2018,,,78,T33-CZSK ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34969,14/8/2018,,,78,T34-H465 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,33905,13/8/2018,,,78,T35-KEDT ,Benzyl Penicillin,Lactose,Suspicious,F,,,,31929,10/9/2018,,,78,T36-ZQA5 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33659,23/9/2018,,,78,T37-POIX ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,34715,20/8/2018,,,78,T38-M2WO ,Benzyl Penicillin,Lactose,Suspicious,F,,,,32171,14/8/2018,,,78,T39-2F9I ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32573,21/8/2018,,,78,T40-AX10 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34610,22/9/2018,
79,T21-A2IC ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,30336,20/8/2018,,,79,T22-NV7Y ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,34279,10/9/2018,,,79,T23-XKCA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34252,13/8/2018,,,79,T24-6VM7 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33665,30/8/2018,,,79,T25-U3TP ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32481,9/9/2018,,,79,T26-6K9A ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,30274,5/9/2018,,,79,T27-TIKY ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35884,16/9/2018,,,79,T28-EN6P ,Benzyl Penicillin,Starch,Suspicious,F,,,,32027,5/9/2018,,,79,T29-ZHVS ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,34236,21/8/2018,,,79,T30-IZNI ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34090,23/9/2018,,,79,T31-68YR ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34020,17/9/2018,,,79,T32-IWHA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32277,4/9/2018,,,79,T33-OSP5 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32184,6/9/2018,,,79,T34-RAC7 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34543,5/9/2018,,,79,T35-XY4H ,Benzyl Penicillin,Lactose,Suspicious,F,,,,31981,12/9/2018,,,79,T36-M344 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33672,23/9/2018,,,79,T37-8NR4 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34544,8/9/2018,,,79,T38-YJY2 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32420,14/8/2018,,,79,T39-438H ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,35892,14/9/2018,,,79,T40-ORWN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,35101,8/9/2018,
80,T21-1F85 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33196,19/9/2018,,,80,T22-0I6Q ,Benzyl Penicillin,Starch,Suspicious,F,,,,30202,4/9/2018,,,80,T23-KLOF ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35455,25/8/2018,,,80,T24-ML3X ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33664,30/8/2018,,,80,T25-SNPZ ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,30536,19/8/2018,,,80,T26-ABHC ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,35202,9/8/2018,,,80,T27-SJKC ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35819,16/9/2018,,,80,T28-ZOC5 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,31626,8/9/2018,,,80,T29-SMLU ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34238,21/8/2018,,,80,T30-HN91 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34915,21/9/2018,,,80,T31-FJH1 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34040,17/9/2018,,,80,T32-GYEN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34288,11/9/2018,,,80,T33-217U ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34875,6/9/2018,,,80,T34-PZVB ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34520,5/9/2018,,,80,T35-6YSX ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32594,17/9/2018,,,80,T36-T6XB ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33656,23/9/2018,,,80,T37-0361 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34551,8/9/2018,,,80,T38-42ZR ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35706,4/9/2018,,,80,T39-CZHG ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35416,14/9/2018,,,80,T40-GDVC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,,,34594,22/9/2018,
81,T21-4ZG3 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,31685,13/8/2018,,,81,T22-5DCR ,Benzyl Penicillin,Paracetamol Starch,Suspicious,F,,,Yes,30200,4/9/2018,,,81,T23-1RSM ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35448,25/8/2018,,,81,T24-H8RN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35723,22/8/2018,,,81,T25-18LM ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32893,9/9/2018,,,81,T26-J8W0 ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,35930,26/9/2018,,,81,T27-XFIN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,31733,22/8/2018,,,81,T28-D50O ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,31604,8/9/2018,,,81,T29-NAH4 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,30217,5/9/2018,,,81,T30-U53F ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34091,23/9/2018,,,81,T31-Y5YJ ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,31895,22/8/2018,,,81,T32-H18V ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,29880,4/9/2018,,,81,T33-EUXC ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34968,14/8/2018,,,81,T34-Q5V7 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,34586,18/9/2018,,,81,T35-ZGML ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,30321,23/8/2018,,,81,T36-IT6E ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,33651,23/9/2018,,,81,T37-C309 ,Benzyl Penicillin,Lactose,Suspicious,F,,,,34116,8/9/2018,,,81,T38-6V18 ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32283,25/9/2018,,,81,T39-LEAL ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32621,20/9/2018,,,81,T40-SHGW ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,33709,8/9/2018,
82,T21-2D2N ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35359,10/8/2018,,,82,T22-XOFO ,Benzyl Penicillin,Paracetamol Starch,Suspicious,F,,,Yes,29400,10/8/2018,,,82,T23-FS3W ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35587,21/9/2018,,,82,T24-L0NU ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35546,10/9/2018,,,82,T25-NC7J ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32894,9/9/2018,,,82,T26-4RJH ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,32790,5/9/2018,,,82,T27-3ILA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,29990,17/9/2018,,,82,T28-0OVG ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,31603,8/9/2018,,,82,T29-JVCQ ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,34227,21/8/2018,,,82,T30-XYUE ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35408,21/8/2018,,,82,T31-BI2T ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32463,6/9/2018,,,82,T32-69FX ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34808,22/8/2018,,,82,T33-UES5 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34960,14/8/2018,,,82,T34-KC4E ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,33909,13/8/2018,,,82,T35-YGLT ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,32593,17/9/2018,,,82,T36-KJM7 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,35341,19/8/2018,,,82,T37-9C11 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,,,34762,1/9/2018,,,82,T38-MYDV ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,32416,14/8/2018,,,82,T39-QH5E ,Benzyl Penicillin,Starch,Suspicious,F,,,Yes,35261,14/9/2018,,,82,T40-7FY3 ,Benzyl Penicillin,Cellulose,Suspicious,F,,,,34611,22/9/2018,
